Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -condenseGenes -count exons -rpkm -d BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ FPKM	BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FPKM	FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FPKM	FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/ FPKM
NM_145953	chr3	157894248	157925063	-	1787.0	1	Cth|0610010I13Rik|AI314617|BC019483|CSE|Cys3|-|3|3 H4|protein-coding	0.000	0.000	0.067	0.722
NM_027868	chr6	90604880	90646412	+	2244.0	1	Slc41a3|1010001P06Rik|AI480742|SLC41A1-L2|-|6|6 D1|protein-coding	3.183	4.311	2.036	1.830
NR_106048	chr8	123130106	123130172	+	66.0	1	Mir7080|Gm27911|mmu-mir-7080|-|8|8 E1|ncRNA	0.000	0.000	0.000	0.000
NM_001310536	chr3	79062511	79144887	-	6462.0	1	Rapgef2|5830453M24Rik|CNRasGEF|Pdzgef1|RA-GEF-1|mKIAA0313|nRapGEP|-|3|3 E3|protein-coding	6.528	6.069	5.592	7.209
NM_001081300	chr18	84011627	84086562	-	5810.0	1	Tshz1|5730407I04Rik|D18Bwg1409e|Mtsh1|NY-CO-33|Sdccag33|Tsh1|mKIAA4206|teashirt1|-|18 E4|18 57.53 cM|protein-coding	5.846	8.437	2.525	3.151
NM_026499	chr2	162931508	162937120	+	3538.0	1	Srsf6|1210001E11Rik|AI314910|AW146126|Sfrs6|-|2 H2|2 83.87 cM|protein-coding	74.266	68.261	69.180	69.186
NR_045457	chr17	28905265	28906771	+	885.0	1	1700030A11Rik|-|-|17|17 A3.3|ncRNA	0.000	0.148	0.000	0.000
NM_013667	chr17	12584189	12628488	+	2125.0	1	Slc22a2|Oct2|Orct2|-|17 A1|17 8.61 cM|protein-coding	0.000	0.000	0.000	0.000
NR_037693	chr18	62751674	62756347	-	2130.0	1	2700046A07Rik|A330042I05Rik|-|18|18 E1|ncRNA	0.000	0.000	0.000	0.055
NM_011998	chr8	110029075	110039334	-	1996.0	1	Chst4|GST-3|Gn6st-2|HEC-GlcNAc6ST|-|8|8 D3|protein-coding	0.000	0.000	0.000	0.000
NM_001134767	chr5	123930689	123969895	+	3905.0	1	Ccdc62|AI661708|Gm150|-|5|5 F|protein-coding	3.469	2.661	0.246	1.217
NM_001293693	chr8	24836143	24948804	-	2225.0	1	Adam32|-|-|8|8 A2|protein-coding	0.121	0.000	0.000	0.158
NM_146997	chr16	58889259	58890218	-	958.0	1	Olfr178|MOR184-6|-|16|16 C1.2|protein-coding	0.000	0.000	0.000	0.000
NR_040567	chr16	84371143	84375505	+	536.0	1	4930553E22Rik|-|-|16|16 C3.3|ncRNA	0.000	0.000	0.000	0.000
NR_027913	chr11	69803669	69806038	+	2369.0	1	G630025P09Rik|4632403M07Rik|-|11|11 B3|ncRNA	1.195	1.159	0.609	0.594
NM_145157	chr2	152576086	152580312	-	390.0	1	Defb19|BD-19|Defb24|Tdl|mBD-19|-|2|2 H1|protein-coding	0.000	0.000	0.000	0.000
NM_177081	chr1	135132725	135145320	+	3252.0	1	Ptpn7|BPTP-4|C920001D21Rik|HEPTP|LC-PTP|LPTP|-|1|1 E4|protein-coding	23.810	19.817	40.211	43.661
NM_028735	chr9	119937606	119967793	+	4151.0	1	Ttc21a|4921538N17Rik|AA387572|Thm2|-|9|9 F3-F4|protein-coding	0.000	0.409	0.000	0.000
NM_145824	chr8	105768308	105827350	-	5292.0	1	Ranbp10|4432417N03Rik|-|8|8 D3|protein-coding	10.022	6.163	9.521	9.856
NM_001002268	chr10	14402585	14545036	-	6478.0	1	Adgrg6|1190004A11Rik|AI449247|AW045736|DREG|Gm222|Gpr126|-|10|10 A2|protein-coding	0.375	0.222	0.195	0.109
NM_026793	chr10	5593728	5606791	+	2775.0	1	Myct1|1110020B04Rik|AI225941|AI642973|Mtmc1|-|10|10 A1|protein-coding	33.804	41.831	21.319	23.638
NM_146547	chr10	129160029	129160982	-	952.0	1	Olfr771|MOR114-8|-|10|10 D3|protein-coding	0.000	0.000	0.000	0.000
NM_001267715	chr3	5560188	5576248	-	2000.0	1	Pex2|D3Ertd138e|PAF-1|PMP35|Pxmp3|-|3 A1|3 1.96 cM|protein-coding	1.820	4.641	1.864	4.488
NM_007984	chr5	142960355	142973189	+	2660.0	1	Fscn1|AI663989|Fan1|fascin-1|-|5 G2|5 81.84 cM|protein-coding	12.414	6.733	16.726	18.594
NM_001278584	chr12	3954945	3960643	+	1003.0	1	Pomc|ACTH|BE|Beta-LPH|Clip|Gamma-LPH|Npp|Pomc-1|Pomc1|alpha-MSH|alphaMSH|beta-MSH|gamma-MSH|-|12 A1.1|12 1.99 cM|protein-coding	0.000	0.130	0.480	0.468
NM_001114174	chr19	23972750	24031019	-	2535.0	1	Fam189a2|AI414343|AI666772|Gm967|-|19|19 B|protein-coding	0.000	0.052	0.000	0.000
NM_133187	chr3	79885930	79946278	+	6621.0	1	Fam198b|1110032E23Rik|2210419I08Rik|AV011458|Ened|-|3|3 E3|protein-coding	0.081	0.039	0.418	1.365
NM_001038651	chr13	67339309	67360572	-	4635.0	1	Zfp953|E130120F12Rik|-|13|13 B3|protein-coding	4.216	3.328	2.153	1.760
NM_175326	chrX	139480367	139554580	+	3722.0	1	D330045A20Rik|AI132325|-|X|X F1|protein-coding	2.281	0.878	0.258	0.189
NM_001015039	chr5	34194894	34288324	-	3965.0	1	Zfyve28|9630058O20Rik|Gm146|mKIAA1643|-|5|5 B2|protein-coding	0.000	0.000	0.061	0.000
NM_176832	chr18	67488209	67549173	-	4745.0	1	Spire1|6030430B19Rik|AI415299|AU022898|AW550622|Spir-1|-|18|18 E1|protein-coding	8.621	13.527	15.762	15.778
NM_001195726	chr12	103314959	103317065	+	1402.0	1	Fam181a|EG544888|-|12|12 E|protein-coding	0.000	0.000	0.000	0.000
NM_178418	chr3	36007247	36053547	-	2464.0	1	Ccdc144b|-|-|3|3 B|protein-coding	0.328	0.371	0.049	0.000
NR_045898	chr11	79670373	79675086	-	354.0	1	Rab11fip4os2|1700020F10Rik|4930542H20Rik|Rab11fib4os2|-|11|11 B5|ncRNA	0.000	0.000	0.000	0.000
NM_031251	chr11	73183133	73199019	-	2997.0	1	Ctns|AI195360|AW049661|-|11|11 B4|protein-coding	3.733	4.471	2.969	3.093
NR_040410	chrX	4515589	4517543	+	1954.0	1	Gm5925|EG546185|-|X|X A1.1|pseudo	0.000	0.000	0.000	0.000
NM_001081096	chr4	86444698	86558303	-	1829.0	1	Saxo1|4930500O09Rik|Fam154a|-|4|4 C4|protein-coding	0.000	0.000	0.000	0.000
NM_001104540	chr17	18085057	18136643	+	2564.0	1	Vmn2r91|EG665210|-|17|17 A3.2|protein-coding	0.000	0.000	0.000	0.000
NR_037604	chr10	127824216	127846565	+	3644.0	1	Rdh18-ps|Rdh18|-|10|10 D3|pseudo	0.000	0.000	0.033	0.000
NM_007854	chr19	5024006	5031972	+	2459.0	1	Slc29a2|Der12|Ent2|Hnp36|-|19|19 A|protein-coding	3.618	1.542	1.956	1.622
NM_175179	chrX	95420314	95444840	-	8464.0	1	Amer1|2810002O09Rik|AW492303|Fam123b|Wtx|-|X|X C3|protein-coding	4.602	8.232	3.822	5.254
NR_106061	chrX	134757631	134757731	+	100.0	1	Mir7093|Gm27453|mmu-mir-7093|-|X|X E3|ncRNA	0.000	0.000	0.000	0.000
NM_011126	chr2	154142880	154149217	+	1093.0	1	Bpifa1|LUNX|NASG|Plunc|SPLUNC1|SPURT|-|2|2 H1|protein-coding	0.000	0.000	0.000	0.000
NM_207620	chr10	129238151	129239089	+	937.0	1	Olfr774|MOR111-11|MOR111-2|-|10|10 D3|protein-coding	0.000	0.000	0.000	0.000
NM_001011737	chr10	78611669	78618074	-	1156.0	1	Olfr1357|MOR128-3|MOR128-4|-|10|10 C1|protein-coding	0.000	0.000	0.000	0.000
NM_199319	chrX	8803691	8809386	+	593.0	1	Ssxb5|-|-|X A1.1|X|protein-coding	0.000	0.000	0.000	0.000
NM_001310698	chr3	104453983	104511918	-	7133.0	1	Lrig2|4632419I10Rik|BB096938|LIG-2|-|3|3 F2.2|protein-coding	4.648	9.713	3.675	4.063
NM_133698	chr3	93319749	93333572	+	10652.0	1	Hrnr|1110033K19Rik|A530063N20Rik|S100a18|-|3 F2.1|3|protein-coding	0.000	0.000	0.000	0.000
NM_009739	chr7	127904073	127909664	+	2843.0	1	Bckdk|AI327402|-|7|7 F3|protein-coding	15.550	9.380	11.716	14.240
NM_016762	chr15	34306681	34436240	+	3497.0	1	Matn2|Crtm2|matrilin-2|-|15|15 B3.1|protein-coding	0.077	0.075	0.413	0.369
NM_028792	chr15	79674250	79687872	-	3388.0	1	Josd1|1300006C06Rik|mKIAA0063|-|15|15 E1|protein-coding	8.235	8.450	8.731	8.936
NM_175440	chr17	24038243	24045949	+	1141.0	1	Prss27|CAPH2|Mpn|marapsin|-|17 A3.3|17 12.21 cM|protein-coding	0.000	0.000	0.105	0.206
NM_001162865	chr4	51216678	51229928	+	1291.0	1	Cylc2|4930488P18Rik|-|4|4 B1|protein-coding	0.000	0.000	0.000	0.000
NM_146737	chr7	108367492	108368436	+	943.0	1	Olfr494|MOR204-10|-|7|7 E3|protein-coding	0.000	0.000	0.000	0.000
NM_013785	chr9	108002648	108048782	+	4404.0	1	Ip6k1|1200016D08Rik|AU022776|Ihpk1|InsP6|InsP6k1|Itpk6|-|9|9 F1|protein-coding	15.072	21.965	15.877	14.095
NM_001313758	chrX	167346320	167382749	-	3701.0	1	Prps2|2610101M19Rik|AA589463|AI464149|Prps-2|-|X F5|X 78.32 cM|protein-coding	15.441	16.848	9.357	11.969
NR_045909	chr11	109845878	109848476	+	386.0	1	1700023C21Rik|-|-|11|11 E1|ncRNA	0.000	0.000	0.000	0.000
NM_001346660	chr4	121145883	121215084	-	6232.0	1	Rlf|9230110M18Rik|AI195322|MommeD8|-|4|4 D2.2|protein-coding	10.976	10.037	9.290	12.408
NR_015470	chr1	9560833	9631092	-	1240.0	1	2610203C22Rik|2310007M24Rik|-|1|1 A2|ncRNA	0.109	1.265	0.776	0.426
NM_029861	chr11	17051934	17079372	+	1534.0	1	Cnrip1|1500041B16Rik|3110054C06Rik|5330437A18Rik|AI854501|C2orf32|-|11|11 A2|protein-coding	7.117	9.076	11.405	13.234
NM_001025364	chr7	19291069	19296164	+	1071.0	1	Rtn2|MMS10-P|Ms10p|NSPLI|Nspl1|-|7 A3|7 9.54 cM|protein-coding	0.629	0.244	0.000	0.000
NM_028296	chr11	93099290	93601751	+	3325.0	1	Car10|2700029L05Rik|BB085816|Ca10|-|11|11 D|protein-coding	0.000	0.000	0.000	0.000
NM_001312907	chr2	163506857	163572907	+	4350.0	1	Hnf4a|HNF-4|Hnf4|Hnf4alpha|MODY1|Nr2a1|TCF-14|Tcf14|-|2 H3|2 84.32 cM|protein-coding	3.888	0.781	1.963	1.403
NM_010504	chr4	88841816	88842459	+	641.0	1	Ifna4|Ifa4|-|4 C4|4 42.03 cM|protein-coding	0.000	0.000	0.000	0.000
NM_022409	chr7	19577287	19580656	+	1525.0	1	Zfp296|2210018A16Rik|Znf296|-|7|7 A3|protein-coding	4.817	6.129	1.814	1.885
NM_025363	chr6	38534861	38539449	+	437.0	1	Fmc1|1110001J03Rik|-|6|6 B1|protein-coding	17.426	14.209	26.140	18.931
NM_146817	chr2	87949190	87950265	-	1073.0	1	Olfr1156|MOR174-3|-|2|2 D|protein-coding	0.000	0.000	0.000	0.000
NM_001290669	chr2	66184327	66256617	-	4372.0	1	Ttc21b|2410066K11Rik|Thm1|aln|mKIAA1992|-|2|2 C1.3|protein-coding	5.965	7.131	6.945	5.019
NM_026439	chr16	45094053	45127924	+	3638.0	1	Ccdc80|2610001E17Rik|DRO1|Ssg1|Urb|-|16|16 B5|protein-coding	0.111	0.000	0.430	1.258
NM_177765	chr7	80246376	80260821	+	2993.0	1	Ttll13|1700111A04Rik|4921538O11|BC024578|-|7|7 D2|protein-coding	0.000	0.000	0.080	0.137
NM_177073	chr7	100845848	100863413	-	2804.0	1	Relt|E430021K24Rik|Tnfrsf19l|-|7|7 E2|protein-coding	3.701	2.471	3.988	3.829
NR_030549	chr16	13449523	13449601	+	78.0	1	Mir193b|Mir193|Mirn193b|mir-193b|-|16 A1|16|ncRNA	0.000	0.000	0.000	0.000
NM_023898	chr6	136954523	136963483	+	552.0	1	Pde6h|A930033D18Rik|PDEgamma|-|6|6 G1|protein-coding	1.221	0.710	0.000	0.425
NM_011905	chr3	83836272	83841608	-	2850.0	1	Tlr2|Ly105|-|3|3 E3|protein-coding	4.587	5.871	3.797	2.635
NM_029781	chr10	75037089	75054100	+	2607.0	1	Rab36|6330593L16Rik|AW047545|-|10|10 C1|protein-coding	1.939	1.579	0.208	0.945
NR_106135	chr2	32050946	32051008	+	62.0	1	Mir7674|Gm27563|mmu-mir-7674|-|2|2 B|ncRNA	7.609	17.921	1.939	16.087
NM_001201395	chrX	76582610	76602924	-	999.0	1	Cldn34d|4930468A15Rik|-|X|X A7.3|protein-coding	0.000	0.000	0.000	0.000
NM_173411	chr8	58911755	58914298	+	1600.0	1	BC030500|-|-|8|8 B2|protein-coding	0.000	0.000	0.000	0.000
NM_178682	chr12	80790532	80880833	+	4994.0	1	Susd6|4933426M11Rik|mKIAA0247|-|12|12 C3|protein-coding	12.239	12.970	7.175	8.882
NM_013759	chr17	24736593	24742778	+	929.0	1	Msrb1|D17Wsu82e|SELX|SelR|Sepr|Sepx1|-|17 A3.3|17 12.53 cM|protein-coding	4.280	0.985	5.048	6.000
NM_176922	chr9	62677855	62783979	+	4905.0	1	Itga11|4732459H24Rik|-|9|9 B|protein-coding	0.027	0.000	0.049	0.000
NM_001285984	chr17	25790500	25792387	-	626.0	1	Fam173a|-|-|17|17 A3.3|protein-coding	12.272	12.947	17.672	21.651
NM_013752	chr4	15957967	15992589	+	2473.0	1	Nbn|Nbs1|-|4|4 A2|protein-coding	5.886	4.969	7.926	7.355
NM_011340	chr11	75410029	75422623	-	1484.0	1	Serpinf1|AI195227|EPC-1|Pedf|Pedfl|Sdf3|-|11|11 B5|protein-coding	40.688	48.932	32.695	31.155
NR_105959	chr19	10191375	10191439	+	64.0	1	Mir6993|Gm27642|mmu-mir-6993|-|19|19 A|ncRNA	0.000	0.000	0.000	0.000
NM_008698	chr11	4874003	4894200	+	1862.0	1	Nipsnap1|-|-|11|11 A1|protein-coding	5.284	9.513	11.043	11.092
NM_013811	chr17	30626936	30875264	+	14488.0	1	Dnah8|ATPase|Dnahc8|Hst6.7b|P1-Loop|-|17|17 A3.3|protein-coding	6.475	6.077	4.029	3.025
NM_033521	chr15	34238026	34284295	+	1888.0	1	Laptm4b|C330023P13Rik|LAPTM4beta|-|15|15 B3.1|protein-coding	7.567	5.608	12.993	13.301
NM_028102	chr8	25725324	25754280	-	4247.0	1	Ddhd2|2010305K11Rik|SAMWD1|mKIAA0725|-|8|8 A2|protein-coding	11.806	15.882	11.807	10.555
NM_199473	chr4	126286794	126314330	+	4325.0	1	Col8a2|AI429819|-|4 D2.2|4 60.29 cM|protein-coding	0.000	0.000	0.000	0.000
NM_026134	chrX	111110418	111123874	+	1957.0	1	Cylc1|4930401M13Rik|-|X|X E1|protein-coding	0.000	0.000	0.000	0.000
NM_001013755	chr4	126609854	126614371	+	2846.0	1	5730409E04Rik|7530403E16Rik|AI849033|-|4|4 D2.2|protein-coding	5.825	3.537	2.197	2.474
NR_045729	chr2	33805816	33813591	+	3650.0	1	Nron|A630071L07Rik|Gm24353|-|2|2 B|ncRNA	1.883	1.898	2.405	2.122
NM_146835	chr17	37466208	37467152	+	943.0	1	Olfr109|MOR250-1|-|17|17 B1|protein-coding	0.000	0.000	0.000	0.000
NM_013518	chr14	58072686	58112720	+	4134.0	1	Fgf9|Eks|-|14 C3|14 30.51 cM|protein-coding	0.000	0.000	0.000	0.000
NM_001033786	chrX	75146057	75163751	-	696.0	1	Smim9|4930428E23Rik|-|X|X A7.3|protein-coding	0.000	0.000	0.000	0.000
NM_001029978	chrX	136666375	136668377	+	1110.0	1	Tceal3|1100001D19Rik|-|X|X F1|protein-coding	1.336	3.710	0.000	0.106
NR_033618	chr9	8221889	8241987	+	1107.0	1	1700128F08Rik|-|-|9|9 A1|pseudo	0.000	0.000	0.000	0.000
NR_126064	chr16	10324105	10331285	-	4487.0	1	Gm1600|Gm1776|-|16|16 A1|ncRNA	0.000	0.000	0.000	0.000
NM_029976	chr11	51967631	51977336	+	1859.0	1	Cdkn2aipnl|A430101B06Rik|AA409260|D11Ertd497e|MNCb-1520|-|11 B1.3|11 31.78 cM|protein-coding	12.615	19.197	17.206	26.448
NM_153780	chr8	129216354	129234046	-	1769.0	1	2610044O15Rik8|2610044O15Rik|-|8 E2|8|protein-coding	2.210	7.759	4.996	5.439
NR_045400	chr18	54611744	54639870	+	1837.0	1	9330117O12Rik|9330117O12|-|18|18 D3|ncRNA	0.000	0.000	0.000	0.000
NM_011935	chr1	187997827	188214884	+	5283.0	1	Esrrg|ERR3|Errg|NR3B3|mKIAA0832|-|1|1 H5-H6|protein-coding	0.255	0.297	0.000	0.244
NM_009879	chr5	122550204	122614518	-	2929.0	1	Ift81|AW060663|Cdv-1|Cdv-1r|Cdv1|-|5 F|5 62.44 cM|protein-coding	6.534	3.303	4.352	4.587
NR_003027	chr19	14438480	14438506	-	26.0	1	Rnu6|-|-|17 A1|17 8.88 cM|snRNA	0.000	0.000	0.000	0.000
NM_001310635	chr8	119992438	120052794	+	4169.0	1	Crispld2|1810049K24Rik|Lcrisp2|Lgl1|coffeecrisp|-|8|8 E1|protein-coding	0.453	0.000	2.625	2.421
NM_031499	chr6	132595946	132600702	+	948.0	1	Prp2|MP14|-|6|6 G1|protein-coding	0.000	0.000	0.000	0.000
NR_045661	chr14	114831965	114861327	+	1889.0	1	4930524C18Rik|-|-|14|14 E4|ncRNA	0.000	0.000	0.000	0.000
NR_029654	chr9	51103034	51103110	-	76.0	1	Mir34c|Mirn34c|mir-34c|mmu-mir-34c|-|9|9 A5.3|ncRNA	0.000	0.000	0.000	0.000
NM_207623	chr18	21001957	21028224	+	2902.0	1	Rnf138|2410015A17Rik|2810480D20Rik|STRIN|Trif|Trif-d|-|18|18 A2|protein-coding	2.345	2.523	4.724	3.457
NM_026626	chr1	178405881	178483249	+	2529.0	1	Efcab2|1700073K01Rik|D830011E08Rik|-|1|1 H4|protein-coding	3.704	1.318	0.642	0.394
NM_007471	chr16	84954436	85173707	-	3114.0	1	App|Abeta|Abpp|Adap|Ag|Cvap|E030013M08Rik|betaApp|-|16 C3.3|16 46.92 cM|protein-coding	8.353	6.947	3.939	4.465
NR_040701	chr5	139523751	139541339	+	741.0	1	4930500L23Rik|-|-|5|5 G2|ncRNA	0.000	0.000	0.000	0.000
NM_025880	chr7	44246722	44252319	+	1974.0	1	2410002F23Rik|-|-|7|7 B3|protein-coding	31.066	25.992	34.630	30.020
NM_025314	chr2	144599953	144768747	+	1275.0	1	Dtd1|0610006H08Rik|DUE-B|Hars2|-|2|2 G1|protein-coding	40.064	34.449	42.298	47.260
NM_001199224	chr7	76229887	77124698	+	3345.0	1	Agbl1|Ccp4|D430020F16|EG244071|Nna1-l1|-|7|7 D1-D2|protein-coding	0.725	0.000	0.108	0.105
NM_010046	chr15	76502015	76511818	-	1736.0	1	Dgat1|ARAT|C75990|D15Ertd23e|Dgat|-|15 D3|15 35.99 cM|protein-coding	4.891	4.104	6.546	5.746
NM_028599	chr1	45795501	45823613	+	2589.0	1	Wdr75|1300003A18Rik|2410118I19Rik|C77608|-|1|1 C1.1|protein-coding	13.952	12.926	13.469	18.220
NM_147101	chr7	102554286	102555236	+	949.0	1	Olfr549|MOR31-3|-|7|7 E3|protein-coding	0.000	0.000	0.000	0.000
NM_172569	chr11	116030316	116061214	+	3723.0	1	Unk|B230379M23Rik|Zc3h5|Zc3hdc5|mKIAA1753|-|11|11 E2|protein-coding	18.137	7.356	17.247	15.176
NM_172439	chr11	3494272	3504821	-	3458.0	1	Inpp5j|Pib5pa|Pipp|-|11|11 A1|protein-coding	0.000	0.000	0.209	0.543
NM_001017394	chrY	8832249	8835169	-	1792.0	1	Gm20815|-|-|Y|Y A1|protein-coding	0.000	0.000	0.000	0.000
NM_025281	chr5	38220482	38234306	+	1540.0	1	Lyar|MLZ-264|-|5 B3|5 20.29 cM|protein-coding	11.159	13.963	23.659	25.145
NM_007572	chr4	136895916	136898844	-	1077.0	1	C1qa|AI255395|C1q|-|4 D3|4 69.05 cM|protein-coding	0.000	0.000	0.000	0.545
NM_001195672	chr10	4509872	4561111	+	2139.0	1	Ccdc170|Gm221|-|10|10 A1|protein-coding	0.000	0.000	0.000	0.000
NM_201353	chr18	60995380	61014199	-	3327.0	1	Slc6a7|AW455934|PROT|-|18|18 E1|protein-coding	0.122	0.000	0.000	0.000
NM_152812	chr4	14809505	14826587	-	3250.0	1	Otud6b|2600013N14Rik|AU015433|-|4|4 A1|protein-coding	9.248	9.935	8.991	12.095
NM_147106	chr9	40005994	40007029	-	1033.0	1	Olfr980|MOR223-2|-|9|9 A5.1|protein-coding	0.000	0.000	0.000	0.000
NM_001004184	chr7	81114799	81170416	+	2826.0	1	Slc28a1|Cnt1|-|7|7 D3|protein-coding	0.000	0.093	0.000	0.000
NM_001081434	chr11	97050820	97068904	+	3510.0	1	Osbpl7|4933437E18Rik|-|11|11 D|protein-coding	6.105	5.847	5.310	4.848
NR_040315	chr15	63817188	63819540	+	810.0	1	1700065I16Rik|1700084L08Rik|-|15 D1|15|pseudo	0.000	0.000	0.000	0.000
NM_138590	chr4	44756559	44932214	+	2512.0	1	Zcchc7|4930572I07Rik|D4Wsu132e|-|4 B1|4 23.57 cM|protein-coding	29.349	38.222	11.704	16.490
NM_027135	chr3	123267496	123365636	+	3832.0	1	Sec24d|2310020L09Rik|Gm1349|-|3|3 G1|protein-coding	2.128	1.211	0.659	1.439
NM_146011	chr10	127323727	127329943	+	1794.0	1	Arhgap9|AU043488|-|10|10 D3|protein-coding	14.199	9.764	19.304	24.921
NM_145857	chr8	88647347	88688474	+	4606.0	1	Nod2|ACUG|BLAU|CD|Card15|F830032C23Rik|IBD1|Nlrc2|-|8|8 C3|protein-coding	0.176	0.596	0.039	0.051
NR_036631	chr7	6955686	6976662	-	3217.0	1	Zim3|1700128I23Rik|-|7 A1|7|ncRNA	0.000	0.000	0.000	0.000
NM_018869	chr19	60889749	61092555	+	3149.0	1	Grk5|Gprk5|-|19 D3|19 56.52 cM|protein-coding	3.082	1.328	1.642	4.993
NM_146623	chr2	36996812	36997738	+	925.0	1	Olfr357|MOR138-3|-|2|2 B|protein-coding	0.000	0.000	0.000	0.000
NR_002905	chr18	35557030	35557227	+	197.0	1	Snora74a|EG436583|RNU19|U19|-|18 B2|18|snoRNA	0.342	0.664	1.831	0.298
NM_023912	chr19	5758427	5771401	-	2618.0	1	Scyl1|2810011O19Rik|C85140|Ntkl|mdf|mfd|p105|-|19 A|19 4.34 cM|protein-coding	8.752	7.015	6.430	7.149
NM_007817	chr7	27119955	27133660	+	1808.0	1	Cyp2f2|Cyp2f|-|7|7 A3|protein-coding	0.000	0.000	0.000	0.000
NR_029569	chr6	30165918	30165992	-	74.0	1	Mir182|Mirn182|mir-182|mmu-mir-182|-|6|6 A3.3|ncRNA	0.000	0.000	0.000	0.000
NM_001252542	chr2	25244813	25255414	-	3272.0	1	Ndor1|4930447P04Rik|NR1|Ndor|-|2|2 A3|protein-coding	10.978	10.188	13.634	13.807
NR_033493	chr16	32665223	32668197	-	1389.0	1	Tnk2os|ENSMUSG00000075265|Gm10818|-|16 B3|16|ncRNA	0.291	0.094	1.818	0.296
NM_001290389	chrX	38316122	38336784	+	4256.0	1	Atp1b4|1110020B02Rik|-|X|X A3.3|protein-coding	0.000	0.000	0.028	0.000
NM_011124	chr4	42772860	42773991	-	862.0	2	Ccl21a|6CKBAC2|6Ckine|ALP|AW987545|CKb9|SCYA21a|SLC|Scya21|Scya21b|Tca4|plt|-|4 A5|4 22.81 cM|protein-coding	0.313	0.000	0.000	0.000
NM_178645	chr11	76945656	76987389	+	2341.0	1	Blmh|AI035728|Bh|Bmh|-|11|11 B5|protein-coding	18.884	24.960	35.545	36.617
NM_178005	chr18	35209006	35215024	-	5666.0	1	Lrrtm2|AI851755|BB129880|C630011A14Rik|mKIAA0416|-|18|18 B1|protein-coding	0.975	0.185	1.104	1.284
NM_008951	chr3	95032691	95042614	-	1323.0	1	Psmd4|Af1|Mcb1|angiocidin|-|3 F2.1|3 40.74 cM|protein-coding	14.721	15.463	19.859	20.001
NM_029606	chr11	108425266	108860615	+	3456.0	1	Cep112|1700001M19Rik|1700029K01Rik|8430407H02Rik|AV043680|AV207351|Ccdc46|Macoco|-|11|11 E1|protein-coding	1.599	2.534	2.505	3.446
NM_177707	chr10	127501717	127508815	+	1776.0	1	Stac3|9830125E18|-|10|10 D3|protein-coding	0.000	0.405	0.000	0.363
NM_001310507	chr14	50927215	50930849	-	1473.0	1	Tmem55b|BC039161|-|14|14 C1|protein-coding	12.947	7.632	4.408	5.855
NM_027278	chr4	41712033	41713517	-	835.0	1	Rpp25l|2810432D09Rik|AW987258|Rppl25|-|4 A5|4|protein-coding	8.071	3.914	20.017	12.507
NM_009269	chr13	53332748	53377361	-	2553.0	1	Sptlc1|AW552086|C77762|E030036H05|Lcb1|-|13|13 B1|protein-coding	10.638	7.015	6.570	5.286
NM_153179	chr1	20057779	20618057	-	12859.0	1	Pkhd1|AI118496|AI182499|FPC|Tigm1|-|1|1 A3-A4|protein-coding	0.000	0.000	0.000	0.000
NM_001033498	chr9	59707764	59716424	+	1355.0	1	Gramd2|BC064463|-|9|9 B|protein-coding	0.000	0.000	0.000	0.087
NM_018861	chr11	20302180	20332713	-	3916.0	1	Slc1a4|ASCT-1|ASCT1|AW045657|SATT|-|11 A3.1|11 12.97 cM|protein-coding	0.447	1.669	2.671	2.997
NM_001081090	chr2	140119881	140170558	-	3376.0	1	Esf1|2610101J03Rik|ABTAP|AW545818|C79684|-|2|2 F3|protein-coding	18.644	21.935	11.522	12.739
NM_027134	chr9	65435782	65453054	+	2031.0	1	Mtfmt|2310020P08Rik|-|9|9 C|protein-coding	5.608	5.889	5.565	5.315
NM_027875	chr10	78584503	78591964	-	3278.0	1	Syde1|1200008N06Rik|BB043000|mSYD1A|-|10|10 C1|protein-coding	17.886	19.022	6.126	5.549
NM_001141930	chr4	149545117	149566437	+	2557.0	1	Ctnnbip1|1110008O09Rik|2310001I19Rik|AW457332|Catnbip1|Icat|-|4|4 E2|protein-coding	1.001	5.036	2.680	2.249
